corpCode.xml 다운로드 중...
상장사 3981개 발견, 업종코드 조회 시작
진행: 100/3981 (성공 100, 실패 0)
진행: 200/3981 (성공 200, 실패 0)
진행: 300/3981 (성공 300, 실패 0)
진행: 400/3981 (성공 400, 실패 0)
진행: 500/3981 (성공 500, 실패 0)
진행: 600/3981 (성공 600, 실패 0)
진행: 700/3981 (성공 700, 실패 0)
진행: 800/3981 (성공 800, 실패 0)
진행: 900/3981 (성공 900, 실패 0)
진행: 1000/3981 (성공 1000, 실패 0)
진행: 1100/3981 (성공 1100, 실패 0)
진행: 1200/3981 (성공 1200, 실패 0)
진행: 1300/3981 (성공 1300, 실패 0)
진행: 1400/3981 (성공 1400, 실패 0)
진행: 1500/3981 (성공 1500, 실패 0)
진행: 1600/3981 (성공 1600, 실패 0)
진행: 1700/3981 (성공 1700, 실패 0)
진행: 1800/3981 (성공 1800, 실패 0)
진행: 1900/3981 (성공 1900, 실패 0)
진행: 2000/3981 (성공 2000, 실패 0)
진행: 2100/3981 (성공 2100, 실패 0)
진행: 2200/3981 (성공 2200, 실패 0)
진행: 2300/3981 (성공 2300, 실패 0)
진행: 2400/3981 (성공 2400, 실패 0)
진행: 2500/3981 (성공 2500, 실패 0)
진행: 2600/3981 (성공 2600, 실패 0)
진행: 2700/3981 (성공 2700, 실패 0)
진행: 2800/3981 (성공 2800, 실패 0)
진행: 2900/3981 (성공 2900, 실패 0)
진행: 3000/3981 (성공 3000, 실패 0)
진행: 3100/3981 (성공 3100, 실패 0)
진행: 3200/3981 (성공 3200, 실패 0)
진행: 3300/3981 (성공 3300, 실패 0)
진행: 3400/3981 (성공 3400, 실패 0)
진행: 3500/3981 (성공 3500, 실패 0)
진행: 3600/3981 (성공 3600, 실패 0)
진행: 3700/3981 (성공 3700, 실패 0)
진행: 3800/3981 (성공 3800, 실패 0)
진행: 3900/3981 (성공 3900, 실패 0)
완료: 총 3981개 중 3981개 적재, 0개 실패
