확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] CMG제약 FY2024: KAM 섹션 815자
[적재] CMG제약 FY2025: KAM 섹션 922자
[적재] HK이노엔 FY2024: KAM 섹션 866자
[적재] HK이노엔 FY2025: KAM 섹션 883자
[적재] JW생명과학 FY2024: KAM 섹션 815자
[적재] JW생명과학 FY2025: KAM 섹션 704자
[적재] JW신약 FY2024: KAM 섹션 736자
[적재] JW신약 FY2025: KAM 섹션 751자
[적재] JW중외제약 FY2024: KAM 섹션 657자
[적재] JW중외제약 FY2025: KAM 섹션 687자
[적재] 경남제약 FY2024: KAM 섹션 675자
[적재] 경남제약 FY2025: KAM 섹션 662자
[스킵] 경동제약 FY2024: 사업보고서(12월 결산) 없음
[적재] 경동제약 FY2025: KAM 섹션 740자
[적재] 고려제약 FY2024: KAM 섹션 655자
[스킵] 고려제약 FY2025: 사업보고서(12월 결산) 없음
[적재] 국전 FY2024: KAM 섹션 673자
[적재] 국전 FY2025: KAM 섹션 659자
[적재] 국제약품 FY2024: KAM 섹션 519자
[적재] 국제약품 FY2025: KAM 섹션 526자
[적재] 녹십자 FY2024: KAM 섹션 955자
[적재] 녹십자 FY2025: KAM 섹션 848자
[적재] 녹십자웰빙 FY2024: KAM 섹션 737자
[적재] 녹십자웰빙 FY2025: KAM 섹션 752자
[적재] 대봉엘에스 FY2024: KAM 섹션 923자
[적재] 대봉엘에스 FY2025: KAM 섹션 918자
[적재] 대웅 FY2024: KAM 섹션 704자
[적재] 대웅 FY2025: KAM 섹션 952자
[적재] 대웅제약 FY2024: KAM 섹션 716자
[적재] 대웅제약 FY2025: KAM 섹션 840자
[적재] 대원제약 FY2024: KAM 섹션 637자
[적재] 대원제약 FY2025: KAM 섹션 589자
[적재] 대한뉴팜 FY2024: KAM 섹션 776자
[적재] 대한뉴팜 FY2025: KAM 섹션 781자
[적재] 대한약품 FY2024: KAM 섹션 591자
[적재] 대한약품 FY2025: KAM 섹션 591자
[적재] 대화제약 FY2024: KAM 섹션 544자
[적재] 대화제약 FY2025: KAM 섹션 657자
[적재] 동구바이오제약 FY2024: KAM 섹션 769자
[적재] 동구바이오제약 FY2025: KAM 섹션 829자
[적재-KAM없음] 동국생명과학 FY2024: 핵심감사사항 섹션 못 찾음
[적재] 동국생명과학 FY2025: KAM 섹션 763자
[적재] 동국제약 FY2024: KAM 섹션 759자
[적재] 동국제약 FY2025: KAM 섹션 735자
[적재] 동성제약 FY2024: KAM 섹션 876자
[적재] 동성제약 FY2025: KAM 섹션 835자
[적재] 동아에스티 FY2024: KAM 섹션 1694자
[적재] 동아에스티 FY2025: KAM 섹션 1710자
[적재] 동화약품 FY2024: KAM 섹션 559자
[적재] 동화약품 FY2025: KAM 섹션 559자
[적재] 듀켐바이오 FY2024: KAM 섹션 813자
[적재] 듀켐바이오 FY2025: KAM 섹션 831자
[적재] 명문제약 FY2024: KAM 섹션 639자
[적재] 명문제약 FY2025: KAM 섹션 1095자
[적재-KAM없음] 바스칸바이오제약 FY2024: 핵심감사사항 섹션 못 찾음
[적재-KAM없음] 바스칸바이오제약 FY2025: 핵심감사사항 섹션 못 찾음
[적재] 바이넥스 FY2024: KAM 섹션 1158자
[적재] 바이넥스 FY2025: KAM 섹션 1158자
[적재] 보령 FY2024: KAM 섹션 752자
[스킵] 보령 FY2025: 사업보고서(12월 결산) 없음
[적재] 부광약품 FY2024: KAM 섹션 859자
[적재] 부광약품 FY2025: KAM 섹션 788자
[적재] 비보존 제약 FY2024: KAM 섹션 1011자
[적재] 비보존 제약 FY2025: KAM 섹션 1012자
[적재] 비씨월드제약 FY2024: KAM 섹션 659자
[적재] 비씨월드제약 FY2025: KAM 섹션 671자
[적재] 삼성제약 FY2024: KAM 섹션 792자
[적재] 삼성제약 FY2025: KAM 섹션 807자
[적재] 삼아제약 FY2024: KAM 섹션 647자
[적재] 삼아제약 FY2025: KAM 섹션 654자
[스킵] 삼양바이오팜 FY2024: 사업보고서(12월 결산) 없음
[적재] 삼양바이오팜 FY2025: KAM 섹션 611자
[적재] 삼일제약 FY2024: KAM 섹션 672자
[적재] 삼일제약 FY2025: KAM 섹션 683자
[적재] 삼진제약 FY2024: KAM 섹션 777자
[적재] 삼진제약 FY2025: KAM 섹션 771자
[적재] 삼천당제약 FY2024: KAM 섹션 832자
[적재] 삼천당제약 FY2025: KAM 섹션 841자
